Rank 0 k8N5R_4j3Vc|| PageRank Score: 0.000285525|| Category: Sports|| Length: 281|| Views: 13133|| Ratings: 37|| Rate: 4.78|| Comments: 0
Rank 896 ZPVsEwk-5d4|| PageRank Score: 2.97126e-05|| Category: Entertainment|| Length: 353|| Views: 3119|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 897 8GY1W_roakg|| PageRank Score: 2.96964e-05|| Category: News|| Length: 143|| Views: 259|| Ratings: 4|| Rate: 3|| Comments: 2
Rank 898 wdJH9e4Ac8g|| PageRank Score: 2.96922e-05|| Category: Entertainment|| Length: 34|| Views: 1507|| Ratings: 2|| Rate: 4.5|| Comments: 6
Rank 899 wRWin5-_YU4|| PageRank Score: 2.9662e-05|| Category: Comedy|| Length: 64|| Views: 1605|| Ratings: 11|| Rate: 2.73|| Comments: 7
Rank 900 KstDtkiWC2Q|| PageRank Score: 2.9662e-05|| Category: Comedy|| Length: 273|| Views: 161|| Ratings: 0|| Rate: 0|| Comments: 1
Rank 901 9TJkOvtcfuE|| PageRank Score: 2.96599e-05|| Category: News|| Length: 275|| Views: 312|| Ratings: 1|| Rate: 5|| Comments: 6
Rank 902 Y5t2iRP7qs0|| PageRank Score: 2.96599e-05|| Category: Music|| Length: 189|| Views: 1323|| Ratings: 6|| Rate: 4.33|| Comments: 2
Rank 903 VdL6GXmWle4|| PageRank Score: 2.96463e-05|| Category: Sports|| Length: 48|| Views: 110|| Ratings: 0|| Rate: 0|| Comments: 1
Rank 904 wVVZQVbroLU|| PageRank Score: 2.96423e-05|| Category: Entertainment|| Length: 106|| Views: 2270|| Ratings: 5|| Rate: 4.2|| Comments: 1
Rank 905 cHFLYAYbqjw|| PageRank Score: 2.96416e-05|| Category: Sports|| Length: 509|| Views: 127|| Ratings: 5|| Rate: 5|| Comments: 10
Rank 906 QjbBJZnnfQ8|| PageRank Score: 2.9629e-05|| Category: Film|| Length: 198|| Views: 864|| Ratings: 10|| Rate: 4.8|| Comments: 4
Rank 907 zO20L_oYTh0|| PageRank Score: 2.9601e-05|| Category: Film|| Length: 96|| Views: 3931|| Ratings: 8|| Rate: 4.62|| Comments: 6
Rank 908 mSmuCvE1Dhk|| PageRank Score: 2.96002e-05|| Category: News|| Length: 223|| Views: 461|| Ratings: 23|| Rate: 4.91|| Comments: 14
Rank 909 4ELTPEHX4Dc|| PageRank Score: 2.95978e-05|| Category: Comedy|| Length: 15|| Views: 104|| Ratings: 2|| Rate: 1|| Comments: 2
Rank 910 O32p-L6qgMY|| PageRank Score: 2.95934e-05|| Category: News|| Length: 412|| Views: 129|| Ratings: 17|| Rate: 4.47|| Comments: 53
Rank 911 A8OFwr0cit8|| PageRank Score: 2.95878e-05|| Category: News|| Length: 175|| Views: 127|| Ratings: 3|| Rate: 3.67|| Comments: 0
Rank 912 iGh0v5IztHw|| PageRank Score: 2.95851e-05|| Category: Comedy|| Length: 20|| Views: 12|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 913 JlvpdfN7zBI|| PageRank Score: 2.95597e-05|| Category: Sports|| Length: 376|| Views: 3059|| Ratings: 20|| Rate: 4.8|| Comments: 5
Rank 914 VhnMY88GAWI|| PageRank Score: 2.95574e-05|| Category: Entertainment|| Length: 360|| Views: 377|| Ratings: 5|| Rate: 5|| Comments: 2
Rank 915 wXi0-gICjaE|| PageRank Score: 2.95389e-05|| Category: Sports|| Length: 324|| Views: 5543|| Ratings: 12|| Rate: 5|| Comments: 12
Rank 916 Q7IpLO6lZ3U|| PageRank Score: 2.95185e-05|| Category: Comedy|| Length: 64|| Views: 15|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 917 OnvoWSxoUvM|| PageRank Score: 2.95185e-05|| Category: Comedy|| Length: 33|| Views: 15|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 918 rz-uUCOqkVM|| PageRank Score: 2.95177e-05|| Category: News|| Length: 431|| Views: 1|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 919 yROxn6rRiJE|| PageRank Score: 2.95067e-05|| Category: Howto|| Length: 50|| Views: 56|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 920 FLDna5kq-8o|| PageRank Score: 2.95067e-05|| Category: Comedy|| Length: 321|| Views: 111|| Ratings: 3|| Rate: 3.67|| Comments: 0
Rank 921 w9kao3BUVaQ|| PageRank Score: 2.95067e-05|| Category: Comedy|| Length: 177|| Views: 132|| Ratings: 2|| Rate: 5|| Comments: 3
Rank 922 FclYFoe3Io0|| PageRank Score: 2.95067e-05|| Category: People|| Length: 194|| Views: 403|| Ratings: 2|| Rate: 5|| Comments: 1
Rank 923 lCnTONaE-H4|| PageRank Score: 2.95027e-05|| Category: People|| Length: 379|| Views: 1875|| Ratings: 3|| Rate: 4.67|| Comments: 1
Rank 924 biud-3eghCo|| PageRank Score: 2.94893e-05|| Category: Music|| Length: 247|| Views: 9394|| Ratings: 45|| Rate: 4.98|| Comments: 35
Rank 925 Ug07yw2HLUQ|| PageRank Score: 2.94881e-05|| Category: Entertainment|| Length: 25|| Views: 1778|| Ratings: 5|| Rate: 4.2|| Comments: 1
Rank 926 xUG_30zG-eA|| PageRank Score: 2.94706e-05|| Category: Music|| Length: 233|| Views: 486|| Ratings: 4|| Rate: 3.5|| Comments: 4
Rank 927 NgGVvp5119A|| PageRank Score: 2.94256e-05|| Category: Gadgets|| Length: 53|| Views: 36844|| Ratings: 59|| Rate: 4.86|| Comments: 32
Rank 928 VhJMEzSJdMk|| PageRank Score: 2.94253e-05|| Category: Comedy|| Length: 14|| Views: 76|| Ratings: 2|| Rate: 5|| Comments: 3
Rank 929 qWmhxx9DNcs|| PageRank Score: 2.94253e-05|| Category: Film|| Length: 215|| Views: 808|| Ratings: 2|| Rate: 5|| Comments: 2
Rank 930 -GbuCKAEMp8|| PageRank Score: 2.94253e-05|| Category: Entertainment|| Length: 543|| Views: 56|| Ratings: 0|| Rate: 0|| Comments: 4
Rank 931 URYFjcDcBiE|| PageRank Score: 2.94253e-05|| Category: Music|| Length: 265|| Views: 181|| Ratings: 2|| Rate: 5|| Comments: 5
Rank 932 cpWdwbZ6B04|| PageRank Score: 2.94253e-05|| Category: Music|| Length: 197|| Views: 160|| Ratings: 4|| Rate: 5|| Comments: 4
Rank 933 zMNLZmNLkN0|| PageRank Score: 2.94186e-05|| Category: Sports|| Length: 34|| Views: 71|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 934 AcwVh4xCWjI|| PageRank Score: 2.94186e-05|| Category: Music|| Length: 289|| Views: 199|| Ratings: 3|| Rate: 3.33|| Comments: 0
Rank 935 0_YdtjXsx_A|| PageRank Score: 2.94186e-05|| Category: Sports|| Length: 12|| Views: 37|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 936 xdvcn040DAs|| PageRank Score: 2.94186e-05|| Category: Music|| Length: 212|| Views: 1077|| Ratings: 5|| Rate: 4.8|| Comments: 3
Rank 937 j_534X42aSY|| PageRank Score: 2.94186e-05|| Category: Music|| Length: 168|| Views: 1213|| Ratings: 5|| Rate: 5|| Comments: 4
Rank 938 1x68yw8EAWs|| PageRank Score: 2.94186e-05|| Category: Travel|| Length: 61|| Views: 249|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 939 0_DqWf4-9Ms|| PageRank Score: 2.94186e-05|| Category: Travel|| Length: 28|| Views: 93|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 940 ANcTDg--Nvc|| PageRank Score: 2.94186e-05|| Category: Travel|| Length: 20|| Views: 67|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 941 JDgThrOBrhA|| PageRank Score: 2.94116e-05|| Category: Comedy|| Length: 229|| Views: 221|| Ratings: 3|| Rate: 3.33|| Comments: 7
Rank 942 U_x5nloElFo|| PageRank Score: 2.94116e-05|| Category: Comedy|| Length: 26|| Views: 2376|| Ratings: 8|| Rate: 1.25|| Comments: 3
Rank 943 LvUyTbkPKnY|| PageRank Score: 2.93822e-05|| Category: Entertainment|| Length: 106|| Views: 235|| Ratings: 1|| Rate: 5|| Comments: 3
Rank 944 L6PAUR7jA6Y|| PageRank Score: 2.93756e-05|| Category: News|| Length: 139|| Views: 6323|| Ratings: 21|| Rate: 4.76|| Comments: 4
Rank 945 JNmBvadDH0o|| PageRank Score: 2.93589e-05|| Category: Entertainment|| Length: 142|| Views: 6154|| Ratings: 29|| Rate: 3.83|| Comments: 42
Rank 946 TBu1uHSFhqc|| PageRank Score: 2.93589e-05|| Category: Comedy|| Length: 29|| Views: 875|| Ratings: 6|| Rate: 2.83|| Comments: 3
Rank 947 v7m_rBt-A30|| PageRank Score: 2.93562e-05|| Category: People|| Length: 90|| Views: 655|| Ratings: 53|| Rate: 4.68|| Comments: 56
Rank 948 EyC5_hezx1c|| PageRank Score: 2.93562e-05|| Category: People|| Length: 92|| Views: 76|| Ratings: 5|| Rate: 4|| Comments: 4
Rank 949 jW2XoJ7fkGw|| PageRank Score: 2.93562e-05|| Category: People|| Length: 10|| Views: 24|| Ratings: 0|| Rate: 0|| Comments: 1
Rank 950 mWABgeojQEc|| PageRank Score: 2.93551e-05|| Category: Comedy|| Length: 102|| Views: 828|| Ratings: 0|| Rate: 0|| Comments: 11
Rank 951 ToLrjAu9SZM|| PageRank Score: 2.93551e-05|| Category: People|| Length: 102|| Views: 754|| Ratings: 2|| Rate: 5|| Comments: 5
Rank 952 2gVPGlrfZtU|| PageRank Score: 2.93519e-05|| Category: People|| Length: 34|| Views: 6107|| Ratings: 17|| Rate: 2.65|| Comments: 6
Rank 953 FlLR0QhLLD0|| PageRank Score: 2.93519e-05|| Category: People|| Length: 43|| Views: 5556|| Ratings: 22|| Rate: 2.64|| Comments: 4
Rank 954 tcE_oFENsCM|| PageRank Score: 2.93517e-05|| Category: People|| Length: 540|| Views: 251|| Ratings: 0|| Rate: 0|| Comments: 2
Rank 955 nO4W5_GtxZE|| PageRank Score: 2.93517e-05|| Category: People|| Length: 599|| Views: 793|| Ratings: 7|| Rate: 5|| Comments: 13
Rank 956 d6b4gIIHGfU|| PageRank Score: 2.93489e-05|| Category: Music|| Length: 441|| Views: 319|| Ratings: 2|| Rate: 5|| Comments: 0
Rank 957 gGYTgsojnQI|| PageRank Score: 2.93484e-05|| Category: Comedy|| Length: 361|| Views: 228|| Ratings: 0|| Rate: 0|| Comments: 1
Rank 958 AJzVkuBwiJg|| PageRank Score: 2.93484e-05|| Category: Comedy|| Length: 577|| Views: 105|| Ratings: 1|| Rate: 1|| Comments: 1
Rank 959 EOkil0wy7dM|| PageRank Score: 2.93311e-05|| Category: Comedy|| Length: 185|| Views: 2606|| Ratings: 9|| Rate: 5|| Comments: 3
Rank 960 z1hvNLmfdfk|| PageRank Score: 2.92858e-05|| Category: Music|| Length: 230|| Views: 643|| Ratings: 2|| Rate: 5|| Comments: 0
Rank 961 ckvimSMwlhs|| PageRank Score: 2.92858e-05|| Category: People|| Length: 102|| Views: 237|| Ratings: 1|| Rate: 4|| Comments: 7
Rank 962 RY5IIqeCkdg|| PageRank Score: 2.92858e-05|| Category: Entertainment|| Length: 280|| Views: 665|| Ratings: 3|| Rate: 5|| Comments: 5
Rank 963 8eOXJ0Cd9e4|| PageRank Score: 2.92785e-05|| Category: People|| Length: 42|| Views: 50674|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 964 qRg3GlrGT_A|| PageRank Score: 2.92785e-05|| Category: Howto|| Length: 2|| Views: 12334|| Ratings: 65|| Rate: 3.18|| Comments: 60
Rank 965 iZtG3AQblV8|| PageRank Score: 2.92785e-05|| Category: Pets|| Length: 50|| Views: 345|| Ratings: 9|| Rate: 2.78|| Comments: 22
Rank 966 pm_aut6RDAY|| PageRank Score: 2.92785e-05|| Category: Music|| Length: 220|| Views: 38681|| Ratings: 145|| Rate: 4.93|| Comments: 41
Rank 967 lHPXeNHWs00|| PageRank Score: 2.92785e-05|| Category: Entertainment|| Length: 592|| Views: 234|| Ratings: 8|| Rate: 3.38|| Comments: 2
Rank 968 ZClGq1Qd4AA|| PageRank Score: 2.92785e-05|| Category: Entertainment|| Length: 453|| Views: 78|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 969 S6piE3Z8bfA|| PageRank Score: 2.92785e-05|| Category: Entertainment|| Length: 10|| Views: 2458|| Ratings: 5|| Rate: 3|| Comments: 9
Rank 970 QhMpwVNznHA|| PageRank Score: 2.92785e-05|| Category: Comedy|| Length: 217|| Views: 653|| Ratings: 6|| Rate: 3.67|| Comments: 1
Rank 971 4DNRWwcmznM|| PageRank Score: 2.92785e-05|| Category: People|| Length: 71|| Views: 15057|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 972 YdkBUQViiAA|| PageRank Score: 2.92785e-05|| Category: Entertainment|| Length: 139|| Views: 6313|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 973 S6vDwJGmnCU|| PageRank Score: 2.92785e-05|| Category: Music|| Length: 404|| Views: 252|| Ratings: 1|| Rate: 5|| Comments: 0
Rank 974 JNsZWLgHlSI|| PageRank Score: 2.92785e-05|| Category: News|| Length: 597|| Views: 201|| Ratings: 3|| Rate: 2.33|| Comments: 4
Rank 975 3dBSPSxHekc|| PageRank Score: 2.92785e-05|| Category: Sports|| Length: 15|| Views: 1056|| Ratings: 4|| Rate: 4.5|| Comments: 3
Rank 976 C6cUSeut7tw|| PageRank Score: 2.92785e-05|| Category: Entertainment|| Length: 140|| Views: 1864|| Ratings: 18|| Rate: 5|| Comments: 9
Rank 977 a0aS-HD-14w|| PageRank Score: 2.92785e-05|| Category: Entertainment|| Length: 97|| Views: 362|| Ratings: 4|| Rate: 2|| Comments: 1
Rank 978 1awAMUrjsXE|| PageRank Score: 2.92785e-05|| Category: Entertainment|| Length: 534|| Views: 1937|| Ratings: 33|| Rate: 1.76|| Comments: 98
Rank 979 Y6nshKhqyqU|| PageRank Score: 2.92785e-05|| Category: Entertainment|| Length: 73|| Views: 971|| Ratings: 2|| Rate: 5|| Comments: 5
Rank 980 Uem-bRBxDCM|| PageRank Score: 2.92785e-05|| Category: Film|| Length: 478|| Views: 17379|| Ratings: 45|| Rate: 4.8|| Comments: 15
Rank 981 ogjm0DC-xAQ|| PageRank Score: 2.92785e-05|| Category: People|| Length: 347|| Views: 342|| Ratings: 19|| Rate: 4.42|| Comments: 12
Rank 982 6EUS46MvWa8|| PageRank Score: 2.92785e-05|| Category: People|| Length: 580|| Views: 751|| Ratings: 30|| Rate: 4.93|| Comments: 83
Rank 983 DVl2E4-TWqo|| PageRank Score: 2.92785e-05|| Category: Entertainment|| Length: 75|| Views: 3842|| Ratings: 11|| Rate: 4.82|| Comments: 7
Rank 984 o-xJxMlVino|| PageRank Score: 2.92785e-05|| Category: Entertainment|| Length: 81|| Views: 19190|| Ratings: 13|| Rate: 4.54|| Comments: 17
Rank 985 Vvl1S0NOrlE|| PageRank Score: 2.92785e-05|| Category: People|| Length: 383|| Views: 37|| Ratings: 3|| Rate: 5|| Comments: 4
Rank 986 D6MgMvlh5Fg|| PageRank Score: 2.92785e-05|| Category: Music|| Length: 247|| Views: 204|| Ratings: 2|| Rate: 5|| Comments: 0
Rank 987 W1cMLwaLoXU|| PageRank Score: 2.92785e-05|| Category: Music|| Length: 272|| Views: 974|| Ratings: 7|| Rate: 5|| Comments: 0
Rank 988 L58Z4MEkhek|| PageRank Score: 2.92785e-05|| Category: People|| Length: 56|| Views: 7942|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 989 tq6Ori-bF-c|| PageRank Score: 2.92785e-05|| Category: Film|| Length: 479|| Views: 14859|| Ratings: 24|| Rate: 4.83|| Comments: 8
Rank 990 rrQ_jmNqtQU|| PageRank Score: 2.92785e-05|| Category: Autos|| Length: 3|| Views: 178|| Ratings: 6|| Rate: 4.33|| Comments: 10
Rank 991 rpsKYMt5FHQ|| PageRank Score: 2.92785e-05|| Category: People|| Length: 3607|| Views: 911|| Ratings: 10|| Rate: 4.6|| Comments: 5
Rank 992 32BeVGBFK3s|| PageRank Score: 2.92785e-05|| Category: Entertainment|| Length: 13|| Views: 1654|| Ratings: 9|| Rate: 1.89|| Comments: 4
Rank 993 v5TGezCSxGo|| PageRank Score: 2.92785e-05|| Category: Comedy|| Length: 36|| Views: 260|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 994 GcL_j1L0WVg|| PageRank Score: 2.92785e-05|| Category: People|| Length: 357|| Views: 26|| Ratings: 5|| Rate: 5|| Comments: 3
Rank 995 FCtUAGdFU6U|| PageRank Score: 2.92785e-05|| Category: People|| Length: 3512|| Views: 362|| Ratings: 8|| Rate: 5|| Comments: 1
Rank 996 uuooufKANH8|| PageRank Score: 2.92785e-05|| Category: Film|| Length: 481|| Views: 23659|| Ratings: 45|| Rate: 4.6|| Comments: 16
Rank 997 _NI45f5M_mU|| PageRank Score: 2.92785e-05|| Category: People|| Length: 3719|| Views: 549|| Ratings: 8|| Rate: 5|| Comments: 4
Rank 998 3KsLF6sGQis|| PageRank Score: 2.92785e-05|| Category: Sports|| Length: 2|| Views: 15883|| Ratings: 42|| Rate: 3.71|| Comments: 63
Rank 999 zmuKQP41pJg|| PageRank Score: 2.92785e-05|| Category: Entertainment|| Length: 61|| Views: 3002|| Ratings: 11|| Rate: 4.18|| Comments: 8
Rank 1000 ZgcxTLoqx94|| PageRank Score: 2.92785e-05|| Category: People|| Length: 113|| Views: 23|| Ratings: 3|| Rate: 5|| Comments: 5
Rank 1001 ivZqtnkKmMM|| PageRank Score: 2.92721e-05|| Category: Entertainment|| Length: 259|| Views: 2604|| Ratings: 7|| Rate: 4.43|| Comments: 7
Rank 1002 JzJzZyRA_JE|| PageRank Score: 2.92691e-05|| Category: Film|| Length: 308|| Views: 588|| Ratings: 9|| Rate: 4.89|| Comments: 5
Rank 1003 SvyJgkmQkDI|| PageRank Score: 2.92691e-05|| Category: Film|| Length: 312|| Views: 6292|| Ratings: 25|| Rate: 4.44|| Comments: 11
Rank 1004 psKkqR_qIdc|| PageRank Score: 2.92686e-05|| Category: Gadgets|| Length: 215|| Views: 2986|| Ratings: 47|| Rate: 4.89|| Comments: 98
Rank 1005 J6RvrpMmDVc|| PageRank Score: 2.92125e-05|| Category: Howto|| Length: 10|| Views: 555|| Ratings: 5|| Rate: 1|| Comments: 1
Rank 1006 JjI3mP_16-g|| PageRank Score: 2.92119e-05|| Category: Film|| Length: 82|| Views: 5643|| Ratings: 22|| Rate: 2.91|| Comments: 10
Rank 1007 kzIV6pvlbGQ|| PageRank Score: 2.9209e-05|| Category: Entertainment|| Length: 32|| Views: 29|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 1008 363FILqbcEk|| PageRank Score: 2.9209e-05|| Category: Music|| Length: 185|| Views: 6442|| Ratings: 10|| Rate: 5|| Comments: 10
Rank 1009 g0ed7oCHQuI|| PageRank Score: 2.9209e-05|| Category: Music|| Length: 190|| Views: 7531|| Ratings: 28|| Rate: 4.68|| Comments: 9
Rank 1010 oR1thBkWL-U|| PageRank Score: 2.9209e-05|| Category: Entertainment|| Length: 78|| Views: 71|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 1011 Thk0y3hRghA|| PageRank Score: 2.9209e-05|| Category: Film|| Length: 585|| Views: 53001|| Ratings: 210|| Rate: 4.9|| Comments: 65
Rank 1012 spy7Ym2Ny5M|| PageRank Score: 2.9209e-05|| Category: Music|| Length: 280|| Views: 1459|| Ratings: 29|| Rate: 5|| Comments: 13
Rank 1013 b-p_nMnCmtc|| PageRank Score: 2.9209e-05|| Category: Music|| Length: 403|| Views: 2601|| Ratings: 11|| Rate: 5|| Comments: 2
Rank 1014 R6ZBhBlVA1s|| PageRank Score: 2.9209e-05|| Category: Music|| Length: 208|| Views: 631|| Ratings: 3|| Rate: 2.33|| Comments: 7
Rank 1015 ciJBHXvbt3s|| PageRank Score: 2.9209e-05|| Category: Sports|| Length: 345|| Views: 580|| Ratings: 1|| Rate: 5|| Comments: 1
Rank 1016 NdiLjC8nFyc|| PageRank Score: 2.9209e-05|| Category: Gadgets|| Length: 139|| Views: 195|| Ratings: 2|| Rate: 5|| Comments: 6
Rank 1017 J931vEp8RX8|| PageRank Score: 2.9209e-05|| Category: Music|| Length: 33|| Views: 679|| Ratings: 1|| Rate: 1|| Comments: 2
Rank 1018 _y_dFu6hxrc|| PageRank Score: 2.9209e-05|| Category: Music|| Length: 210|| Views: 7308|| Ratings: 24|| Rate: 4.96|| Comments: 1
Rank 1019 q5hw6LHVVWs|| PageRank Score: 2.9209e-05|| Category: Entertainment|| Length: 175|| Views: 5950|| Ratings: 9|| Rate: 3.56|| Comments: 7
Rank 1020 -rKGgNcg4iw|| PageRank Score: 2.9209e-05|| Category: News|| Length: 86|| Views: 136422|| Ratings: 123|| Rate: 4.25|| Comments: 210
Rank 1021 ZXiFSVN2Nw8|| PageRank Score: 2.9209e-05|| Category: Film|| Length: 248|| Views: 42545|| Ratings: 144|| Rate: 4.88|| Comments: 43
Rank 1022 Mp4m1V-eFto|| PageRank Score: 2.92057e-05|| Category: People|| Length: 68|| Views: 15|| Ratings: 0|| Rate: 0|| Comments: 1
Rank 1023 0TK2dr9f6Dw|| PageRank Score: 2.92057e-05|| Category: People|| Length: 63|| Views: 8|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 1024 P7RrKbDG6cs|| PageRank Score: 2.92057e-05|| Category: Music|| Length: 50|| Views: 1203|| Ratings: 0|| Rate: 0|| Comments: 2
Rank 1025 fNL0N3TXk_c|| PageRank Score: 2.92057e-05|| Category: Entertainment|| Length: 75|| Views: 46368|| Ratings: 193|| Rate: 4.73|| Comments: 95
Rank 1026 yzn80w1d7WI|| PageRank Score: 2.92026e-05|| Category: Entertainment|| Length: 307|| Views: 226|| Ratings: 3|| Rate: 5|| Comments: 1
Rank 1027 IjeqxVcDOsQ|| PageRank Score: 2.92023e-05|| Category: Howto|| Length: 522|| Views: 1640|| Ratings: 3|| Rate: 4|| Comments: 5
Rank 1028 KuJ7SoNS6Gs|| PageRank Score: 2.91998e-05|| Category: Entertainment|| Length: 44|| Views: 1379|| Ratings: 5|| Rate: 3.4|| Comments: 1
Rank 1029 hjZ5v_Y7864|| PageRank Score: 2.91918e-05|| Category: People|| Length: 187|| Views: 159|| Ratings: 9|| Rate: 4.44|| Comments: 14
Rank 1030 88ec_qxchpM|| PageRank Score: 2.91833e-05|| Category: Autos|| Length: 38|| Views: 215|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 1031 ziRrvRUmkO4|| PageRank Score: 2.91663e-05|| Category: News|| Length: 198|| Views: 191|| Ratings: 7|| Rate: 4.43|| Comments: 4
Rank 1032 VeyE1u9QlYU|| PageRank Score: 2.9146e-05|| Category: Film|| Length: 187|| Views: 1854|| Ratings: 26|| Rate: 4.85|| Comments: 14
Rank 1033 B3VUs2Stj4o|| PageRank Score: 2.91458e-05|| Category: Music|| Length: 203|| Views: 9759|| Ratings: 13|| Rate: 4.62|| Comments: 11
Rank 1034 z2AxQs_BPAg|| PageRank Score: 2.91431e-05|| Category: Comedy|| Length: 101|| Views: 197|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 1035 Alhkd16LukM|| PageRank Score: 2.91398e-05|| Category: People|| Length: 224|| Views: 1108|| Ratings: 71|| Rate: 4.44|| Comments: 46
Rank 1036 PRXl5uTyE2s|| PageRank Score: 2.91398e-05|| Category: Entertainment|| Length: 121|| Views: 47|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 1037 KtXgsgtEGqY|| PageRank Score: 2.91398e-05|| Category: Gadgets|| Length: 74|| Views: 920|| Ratings: 7|| Rate: 4.29|| Comments: 10
Rank 1038 Ks8gjb96ZZM|| PageRank Score: 2.91398e-05|| Category: People|| Length: 207|| Views: 34|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 1039 koM5tD-vCek|| PageRank Score: 2.91398e-05|| Category: Music|| Length: 279|| Views: 567|| Ratings: 3|| Rate: 3.33|| Comments: 3
Rank 1040 tR2FknBn-bQ|| PageRank Score: 2.91398e-05|| Category: Sports|| Length: 29|| Views: 10507|| Ratings: 7|| Rate: 3.57|| Comments: 2
Rank 1041 eHsJ0AtHmOA|| PageRank Score: 2.91398e-05|| Category: Howto|| Length: 599|| Views: 906|| Ratings: 5|| Rate: 4.2|| Comments: 0
Rank 1042 aSCiKR5HoLY|| PageRank Score: 2.91398e-05|| Category: Music|| Length: 338|| Views: 134|| Ratings: 1|| Rate: 5|| Comments: 1
Rank 1043 TkE9oIv5bsY|| PageRank Score: 2.91398e-05|| Category: Entertainment|| Length: 109|| Views: 70|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 1044 kCc2thb0HVU|| PageRank Score: 2.91398e-05|| Category: Comedy|| Length: 81|| Views: 403|| Ratings: 28|| Rate: 3|| Comments: 10
Rank 1045 ZvuQ5EaG0BE|| PageRank Score: 2.91398e-05|| Category: People|| Length: 37|| Views: 217|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 1046 Jr0Ze_qbarE|| PageRank Score: 2.91398e-05|| Category: People|| Length: 87|| Views: 318|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 1047 cTXxNtGHslg|| PageRank Score: 2.91398e-05|| Category: Entertainment|| Length: 175|| Views: 362|| Ratings: 1|| Rate: 5|| Comments: 0
Rank 1048 WcxXeiwQSzo|| PageRank Score: 2.91398e-05|| Category: Gadgets|| Length: 175|| Views: 164|| Ratings: 2|| Rate: 5|| Comments: 1
Rank 1049 c2RLRFwd-Bg|| PageRank Score: 2.91398e-05|| Category: Comedy|| Length: 20|| Views: 24|| Ratings: 0|| Rate: 0|| Comments: 1
Rank 1050 em6mb-nDLvY|| PageRank Score: 2.91398e-05|| Category: Music|| Length: 588|| Views: 14759|| Ratings: 34|| Rate: 4.35|| Comments: 28
Rank 1051 ThvC6P2oVas|| PageRank Score: 2.91398e-05|| Category: People|| Length: 119|| Views: 50|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 1052 WuYKD-mjv6Q|| PageRank Score: 2.91398e-05|| Category: People|| Length: 100|| Views: 1521|| Ratings: 14|| Rate: 4.64|| Comments: 22
Rank 1053 HZKFI1FRWZI|| PageRank Score: 2.91398e-05|| Category: Sports|| Length: 39|| Views: 11722|| Ratings: 12|| Rate: 4.5|| Comments: 2
Rank 1054 4rZDAi4TtG8|| PageRank Score: 2.91398e-05|| Category: Comedy|| Length: 29|| Views: 52|| Ratings: 0|| Rate: 0|| Comments: 2
Rank 1055 uBhLF_qf66M|| PageRank Score: 2.91398e-05|| Category: Music|| Length: 405|| Views: 11035|| Ratings: 17|| Rate: 4|| Comments: 28
Rank 1056 22D3pUQ0IQk|| PageRank Score: 2.91398e-05|| Category: Entertainment|| Length: 17|| Views: 7380|| Ratings: 10|| Rate: 4.2|| Comments: 3
Rank 1057 XFT0X2gH-Vg|| PageRank Score: 2.91398e-05|| Category: Entertainment|| Length: 135|| Views: 292|| Ratings: 4|| Rate: 2|| Comments: 3
Rank 1058 O4iiOgZuNHg|| PageRank Score: 2.91398e-05|| Category: News|| Length: 327|| Views: 27|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 1059 JNYkjUH98kE|| PageRank Score: 2.91398e-05|| Category: People|| Length: 14|| Views: 2680|| Ratings: 1|| Rate: 1|| Comments: 0
Rank 1060 YMtsEWuECDo|| PageRank Score: 2.91398e-05|| Category: Comedy|| Length: 200|| Views: 710|| Ratings: 12|| Rate: 4.92|| Comments: 15
Rank 1061 AAAWy7hf4vA|| PageRank Score: 2.91398e-05|| Category: Comedy|| Length: 184|| Views: 45|| Ratings: 1|| Rate: 4|| Comments: 0
Rank 1062 yewEYtixgrA|| PageRank Score: 2.91398e-05|| Category: People|| Length: 349|| Views: 353|| Ratings: 30|| Rate: 4.57|| Comments: 11
